"UF_CITYID";"UF_CITYCODE";"UF_CITYNAME";"UF_DW_1";"UF_DW_2";"UF_DE";"UF_DU"
195882653;32000001000;"Брянск";"Y";"Y";"Y";"N"
48994107;66000001000;"Екатеринбург";"Y";"Y";"Y";"Y"
49572207;38000003000;"Иркутск";"Y";"Y";"Y";"Y"
195913495;12000001000;"Йошкар-Ола";"N";"N";"Y";"Y"
195738501;43000001000;"Киров";"N";"N";"Y";"Y"
49210037;23000001000;"Краснодар";"Y";"Y";"Y";"Y"
49498352;24000001000;"Красноярск";"Y";"Y";"Y";"Y"
49694102;77000000000;"Москва";"Y";"Y";"Y";"Y"
195868771;16000002000;"Набережные Челны";"Y";"Y";"Y";"Y"
195817836;23000006000;"Новороссийск";"Y";"N";"Y";"Y"
49455627;54000001000;"Новосибирск";"Y";"Y";"Y";"Y"
49125342;55000001000;"Омск";"Y";"Y";"Y";"Y"
195554857;56000001000;"Оренбург";"Y";"Y";"Y";"Y"
49270397;61000001000;"Ростов-на-Дону";"Y";"Y";"Y";"Y"
49694167;78000000000;"Санкт-Петербург";"Y";"Y";"Y";"Y"
195918627;13000001000;"Саранск";"N";"N";"Y";"Y"
196025140;26000001000;"Ставрополь";"Y";"Y";"Y";"Y"
49052007;86000010000;"Сургут";"Y";"Y";"Y";"Y"
196056690;63000007000;"Тольятти";"Y";"Y";"Y";"Y"
49755322;72000001000;"Тюмень";"Y";"Y";"Y";"Y"
49749272;27000001000;"Хабаровск";"Y";"Y";"Y";"Y"
49265227;74000001000;"Челябинск";"Y";"Y";"Y";"Y"
195851995;19000001000;"Абакан";"Y";"N";"Y";"N"
195667183;29000001000;"Архангельск";"Y";"N";"Y";"N"
195846357;30000001000;"Астрахань";"Y";"Y";"Y";"N"
49704777;22000001000;"Барнаул";"Y";"Y";"Y";"N"
195947948;53000001000;"Великий Новгород";"Y";"N";"Y";"N"
49530167;25000001000;"Владивосток";"Y";"Y";"Y";"N"
195705667;33000001000;"Владимир";"Y";"N";"Y";"N"
195705667;33000001000;"Волгоград";"Y";"Y";"Y";"N"
195999029;34000002000;"Волжский";"N";"Y";"Y";"N"
195815575;35000001000;"Вологда";"Y";"N";"Y";"N"
49468352;36000001000;"Воронеж";"Y";"N";"Y";"N"
195916191;75007000001;"Забайкальск";"Y";"Y";"Y";"N"
195981361;37000001000;"Иваново";"Y";"N";"Y";"N"
49203292;16000001000;"Казань";"Y";"N";"Y";"N"
195981303;39000001000;"Калининград";"Y";"Y";"Y";"N"
48951627;42000009000;"Кемерово";"Y";"Y";"Y";"N"
195619907;50011001000;"Клин";"N";"N";"N";"N"
195898503;44000003000;"Кострома";"N";"N";"Y";"N"
195766486;48000001000;"Липецк";"Y";"N";"Y";"N"
195775647;74000009000;"Магнитогорск";"Y";"Y";"Y";"N"
196035978;5000001000;"Махачкала";"Y";"N";"Y";"N"
195851507;51000001000;"Мурманск";"N";"N";"Y";"N"
196035884;6000003000;"Назрань";"Y";"Y";"Y";"N"
195909371;7000001000;"Нальчик";"Y";"N";"Y";"N"
195928699;86000011000;"Нижневартовск";"Y";"Y";"Y";"N"
49323117;52000001000;"Нижний Новгород";"Y";"N";"Y";"N"
195965442;42000012000;"Новокузнецк";"Y";"Y";"Y";"N"
195912233;89000006000;"Новый Уренгой";"Y";"Y";"Y";"N"
195912457;89000007000;"Ноябрьск";"Y";"N";"Y";"N"
195557519;56000004000;"Орск";"Y";"Y";"Y";"N"
49172112;59000001000;"Пермь";"Y";"Y";"Y";"N"
196033774;10000001000;"Петрозаводск";"Y";"N";"Y";"N"
195632604;50000024000;"Подольск";"Y";"Y";"N";"N"
196017762;26000007000;"Пятигорск";"Y";"Y";"Y";"N"
